,feature,auc,ks_stat
25,EXT_SOURCE_3,0.679399766415495,0.26981157482548784
23,EXT_SOURCE_1,0.6656809536981189,0.24269628729912673
24,EXT_SOURCE_2,0.6561201400189125,0.22373948481086803
6,OWN_CAR_AGE,0.5588841313356966,0.10297906435903192
33,FLOORSMAX_AVG,0.5503853670872383,0.07247059025252
61,FLOORSMAX_MEDI,0.5500268245787314,0.07147878234270177
15,REGION_RATING_CLIENT_W_CITY,0.5491819141025376,0.06398667568189687
47,FLOORSMAX_MODE,0.5490984380574546,0.06879759040813738
14,REGION_RATING_CLIENT,0.5480631983651519,0.06416818367443511
37,LIVINGAREA_AVG,0.5471164927499196,0.06865168466896943
65,LIVINGAREA_MEDI,0.5465611866404307,0.06725336993937625
68,TOTALAREA_MODE,0.5453673378887425,0.06304208503146258
51,LIVINGAREA_MODE,0.544206756500283,0.06424194497084723
26,APARTMENTS_AVG,0.539703171927874,0.0580690609977946
21,REG_CITY_NOT_WORK_CITY,0.5394154085781583,0.07883081715631668
31,ELEVATORS_AVG,0.5392552262109793,0.07213823521709595
54,APARTMENTS_MEDI,0.5391833995268219,0.05793616903518295
59,ELEVATORS_MEDI,0.5385889424686059,0.07143494200025191
40,APARTMENTS_MODE,0.5374587410080613,0.055997341487433905
74,FLAG_DOCUMENT_3,0.5369325714262589,0.0738651428525178
45,ELEVATORS_MODE,0.5365100778746057,0.06801296931526657
34,FLOORSMIN_AVG,0.5356473188764269,0.06393571507927087
36,LIVINGAPARTMENTS_AVG,0.5355336139293705,0.05316045596066543
62,FLOORSMIN_MEDI,0.5353305712346157,0.06291030464689862
64,LIVINGAPARTMENTS_MEDI,0.535098881772748,0.05137372475193458
48,FLOORSMIN_MODE,0.5341029356834053,0.059077595234628966
4,AMT_GOODS_PRICE,0.5333376843961204,0.09423947416847211
50,LIVINGAPARTMENTS_MODE,0.5332912071945374,0.04882682003021943
8,FLAG_EMP_PHONE,0.5324318045453185,0.06486360909063685
5,REGION_POPULATION_RELATIVE,0.532374287673236,0.06087208380028786
56,YEARS_BEGINEXPLUATATION_MEDI,0.5311671858016003,0.04368120448403345
28,YEARS_BEGINEXPLUATATION_AVG,0.5309898456011215,0.0439335158429201
42,YEARS_BEGINEXPLUATATION_MODE,0.5307078179855456,0.04221539292256665
32,ENTRANCES_AVG,0.5271866899767039,0.04584250505440818
60,ENTRANCES_MEDI,0.526964804917291,0.044022602583510706
57,YEARS_BUILD_MEDI,0.5266571890619502,0.0364551571966627
29,YEARS_BUILD_AVG,0.5264871991518041,0.03636135736550239
27,BASEMENTAREA_AVG,0.526480153706081,0.040794499722110134
43,YEARS_BUILD_MODE,0.526338495641944,0.03603503366676697
55,BASEMENTAREA_MEDI,0.5258435576886106,0.041574915208780316
46,ENTRANCES_MODE,0.5242412658680147,0.03966872014513262
16,HOUR_APPR_PROCESS_START,0.5241771361345711,0.030567753948368637
22,LIVE_CITY_NOT_WORK_CITY,0.5229079026324078,0.045815805264815546
20,REG_CITY_NOT_LIVE_CITY,0.5218737999016327,0.04374759980326548
41,BASEMENTAREA_MODE,0.5216627090431868,0.03326048020218808
30,COMMONAREA_AVG,0.5215043161761821,0.03387682522510732
58,COMMONAREA_MEDI,0.5210661137444569,0.03405967211356087
9,FLAG_WORK_PHONE,0.5209167307494551,0.04183346149891032
98,AMT_REQ_CREDIT_BUREAU_YEAR,0.5205958586928078,0.03504854045371625
11,FLAG_PHONE,0.519641475955312,0.03928295191062392
1,AMT_INCOME_TOTAL,0.5191386856421116,0.037375018648435177
70,DEF_30_CNT_SOCIAL_CIRCLE,0.5188404026992083,0.037164745313509995
2,AMT_CREDIT,0.5185824169710105,0.06946834587405204
44,COMMONAREA_MODE,0.5183445737550623,0.03167758770945506
0,CNT_CHILDREN,0.5171232744092298,0.034076058997247305
72,DEF_60_CNT_SOCIAL_CIRCLE,0.5157357339719888,0.03119706763219887
35,LANDAREA_AVG,0.515492775070995,0.032242357804109445
39,NONLIVINGAREA_AVG,0.5153020915760943,0.024405095107402797
63,LANDAREA_MEDI,0.5151568705407902,0.03203742287445521
77,FLAG_DOCUMENT_6,0.5148761609597201,0.029752321919439995
67,NONLIVINGAREA_MEDI,0.5143258249256505,0.02271663708474364
53,NONLIVINGAREA_MODE,0.5134117113755294,0.022419451455548522
49,LANDAREA_MODE,0.5131240530454414,0.029026060505227935
69,OBS_30_CNT_SOCIAL_CIRCLE,0.5091054179612878,0.01569832100060775
71,OBS_60_CNT_SOCIAL_CIRCLE,0.5089473606946391,0.015618532065901913
13,CNT_FAM_MEMBERS,0.5068335190014214,0.025297021417614363
38,NONLIVINGAPARTMENTS_AVG,0.5064197902049805,0.01545444211047764
97,AMT_REQ_CREDIT_BUREAU_QRT,0.5062579176844977,0.014570904451286615
66,NONLIVINGAPARTMENTS_MEDI,0.5050910453002899,0.013855804484927292
96,AMT_REQ_CREDIT_BUREAU_MON,0.5048039456659397,0.008506622606470615
79,FLAG_DOCUMENT_8,0.504034852287614,0.00806970457522782
52,NONLIVINGAPARTMENTS_MODE,0.5036027708056188,0.01244929322518118
18,REG_REGION_NOT_WORK_REGION,0.5027970332274843,0.005594066454968405
87,FLAG_DOCUMENT_16,0.5021135243564363,0.004227048712872716
89,FLAG_DOCUMENT_18,0.5013106851645464,0.0026213703290929313
84,FLAG_DOCUMENT_13,0.5012600296769021,0.0025200593538039495
17,REG_REGION_NOT_LIVE_REGION,0.501249860219117,0.0024997204382339877
19,LIVE_REGION_NOT_WORK_REGION,0.5010220358510366,0.0020440717020729915
85,FLAG_DOCUMENT_14,0.500939886479149,0.0018797729582979983
12,FLAG_EMAIL,0.5007465099630256,0.00149301992605122
94,AMT_REQ_CREDIT_BUREAU_DAY,0.5006871806291207,0.0013752424073484315
80,FLAG_DOCUMENT_9,0.500497638539358,0.0009952770787160503
82,FLAG_DOCUMENT_11,0.5004845725402453,0.0009691450804906188
86,FLAG_DOCUMENT_15,0.5004169667925651,0.0008339335851301755
95,AMT_REQ_CREDIT_BUREAU_WEEK,0.5002429870349016,0.00047876257567014413
93,AMT_REQ_CREDIT_BUREAU_HOUR,0.5001447759133625,0.0002893434937902839
92,FLAG_DOCUMENT_21,0.5001245553382639,0.0002491106765277751
88,FLAG_DOCUMENT_17,0.5001012177820963,0.00020243556419241582
3,AMT_ANNUITY,0.5000777100343282,0.03816542495359798
76,FLAG_DOCUMENT_5,0.5000707148236363,0.00014142964727248408
73,FLAG_DOCUMENT_2,0.5000646452250932,0.00012929045018650331
90,FLAG_DOCUMENT_19,0.5000607638853636,0.00012152777072715892
75,FLAG_DOCUMENT_4,0.5000442186737228,8.843734744556908e-05
78,FLAG_DOCUMENT_7,0.500038626868414,7.725373682798686e-05
10,FLAG_CONT_MOBILE,0.500029322725098,5.8645450196114944e-05
81,FLAG_DOCUMENT_10,0.5000123812286423,2.4762457284777106e-05
91,FLAG_DOCUMENT_20,0.5000089020161143,1.7804032228729838e-05
83,FLAG_DOCUMENT_12,0.5000035374938978,7.074987795618881e-06
7,FLAG_MOBIL,0.5000017687469489,3.537493897823026e-06
